,Favo,PN,RT,date,text
699622,0,2,0,2018-03-10,# 仮想通貨 # VEE Bittrex高騰/暴落 速報(5分前価格と比較) [ETH-VEE]7.44% [ETH-ADX]-5.41%
713130,0,2,0,2018-03-19,@ CryptoC_x さん!ﾄﾞｺﾄﾞｺﾄﾞｺ! @ bitcoin_kun2 さんから投げられましうおぉ! つ〔25 coin_monster:no_4〕
242404,1,3,1,2017-10-13,ビットコインをフルレバでショートしてたらたぶん108回死んでたな
251163,0,1,0,2017-10-18,ビットコインはともかく他のコインが店の支払いで使えるって聞いたことがない 単にマネーゲームの材料として使われてるだけなんかね
581972,3,3,0,2018-01-26,仮想通貨やってる人、俺のフォロワーにいるとは思えないけど、もしいたら今からBitcoinは100万切るだろうからその時に買え。コインチェックはもうダメだ。ビットフライヤーで買うんだぞ…
203149,0,2,0,2017-09-12,ビットコインこの辺かね
220821,5,2,0,2017-09-21,ノリで自己紹介時に「ビットコインのチャート監視が趣味です」と書いたら意外と色々訊かれるので一回ちゃんと勉強しなおさないとダメな気がする…
576476,0,3,0,2018-01-25,ビットコインは信用できないイメージだったけどなんか規模が大きくなってるから突然価値が無くなることは無さそうな気がしてきた
137026,0,2,0,2017-07-19,アービトラージ 暗号通貨の利ざやを抜くツール販売中！！ 詳しくはDMにて♪ ご質問だけでも大歓迎 # ビットコイン # トレード # アービトラージ # 利鞘
692133,0,2,0,2018-03-06,"Bitcoinトランザクション状況 HashRateは「3,623,393,274,310 KH/s」 NetworkDiffは「3,290,605,988,755」 未確認取引数は「5,665 件」 だよ # bitcoin # ethereum # cryptocurrency # 仮想通貨"
301017,0,3,0,2017-11-17,さらばビットコイン見ました。別にキャッシュを褒めてる訳では無いんですね。暗号通貨（全体）に対する愛を感じました。
187899,0,3,0,2017-08-31,ビットコインの量は決められてるので、とにかくたくさんのマシンで掘らないと他の採掘者に勝てないんでしょうな。それにしてもビットコインの価値がなんかすごい高い
676078,0,3,0,2018-02-24,# ビットコイン # ビットフライヤー やや変形してるが逆三尊。112万〜113万を抜けるかどうかってところだったが、抜けそうだ。 中期では直近高値の128万を抜けたら固そう。相変わらず良い下げ方してくれたよ。上げ相場継続だ。
717554,0,2,0,2018-03-22,# 仮想通貨 # FAIR Bittrex高騰/暴落 速報(5分前価格と比較) [BTC-FAIR]5.27%
165986,0,3,0,2017-08-14,今日はﾋﾞｯﾄｺｲﾝを一部売却し関連銘柄のULSグループを1400株購入した。寄りの価格から7パーセント近く上昇して引けていた。みんな考えることは同じなんだね
628218,0,1,0,2018-02-06,まだ買っちゃダメです。。 ＄bitcoin ＄ビットコイン
260687,1,2,0,2017-10-25,暫くは新しいブログ媒体の作成に取り組みまする
115143,1,4,0,2017-06-14,そもそも買っても 1年間塩漬けですよね。 塩漬けにするなら ビットコインか イーサリアムの方が確実に上がる。 ノアコインは プレセール期間も延期になるし 何か信頼性がない。。
108415,0,2,0,2017-06-05,あるあるです(*´Д｀) でも、気になりませんでした♪
541960,1,0,1,2018-01-17,ビットコインえらいことになってるけど、今日やっぱ電車止まったんかな 12月の暴騰でｳﾋｮｰ!って飛び込んだイナゴたちはみんな焼き払われてしまったんだろうなぁ
530220,0,2,0,2018-01-16,"BitCoin VS AltCoin BitCoin時価総額「$236,882,391,952(2.940%)」 Volume「$12,925,600,000」 AltCoin時価総額「$462,816,938,113(0.978%)」 Volume「$25,834,208,660」 # bitcoin # altcoin # 仮想通貨 # cryptocrrency"
665758,6,1,2,2018-02-20,そのうち記事にしようと思ってるけど、ハッシュ計算を延々ブン回すことは仮想通貨の本質的な部分ではないよ。数年数十年したら「ビットコインのマイニングは21世紀で最大の電力の無駄遣いだった」って言われるに決まってんよ。
579770,1,2,0,2018-01-26,偏見かもしれんけど、全く興味持たなそうな感じの娘さんがリツイートに「良いね！」をして、ビットコインだか投資だかのバナーを押させようとする詐欺？やめてほしい・・・わかっててもうれしくなっちゃうから(T_T)
395514,0,2,0,2017-12-11,ビットコインに関してはたぶんそうだろうな～と思ってたので納得
1928,0,2,0,2016-01-23,市場がブロックチェーンとビットコインを混同しているおかげ
326227,0,3,0,2017-11-29,100万円越えたらBitcoinに安定感が出てきたなあ。100万円超えプラス社会人の給料日もあいまってcoincheck銘柄仮想通貨全体がぐんぐん上昇してる。 nemも上がって含み損解消！やった！ 今買うのは少し怖い？買うならBitcoin cashの方が宝くじ的夢がある。
289638,1,2,0,2017-11-11,「AIでビットコインをマイニング！！！」みたいなテキトーなこといってクソ老人からカネ巻きあげたい
655879,0,3,0,2018-02-16,ビットコインやりながら直指の魔眼で「上がれッッッ！」「下がれッッッ！」とかやってる
679599,0,2,0,2018-02-26,【Tweet数の多かった通貨】 1. $ BTC Bitcoin - 582 Tweets 2. $ LTC Litecoin - 383 Tweets 3. $ ETH Ethereum - 303 Tweets ※1時間おきの集計データに基づき自動ツイートされています
268600,0,2,0,2017-11-01,ビットコイン74万w 狂ってるw
17066,0,4,0,2016-06-23,もうやってないけど、bitcoin下げてるなら、買いでは…？半減期相場だよねそろそろ、買うか
430330,1,3,1,2017-12-20,どこの金持ちだったか忘れましたけど、ビットコインからビットコインキャッシュに乗り換えたという話が回ってましたよ♪ おれにはどうでもいい話ですけど(笑)
397655,0,4,0,2017-12-11,ビットコインCBOE上場気配がくるぞぉぉぉぉ！
475108,0,3,0,2017-12-29,bitcoinとmonacoin支払い可のサークルさんもあったなぁ
374266,0,2,0,2017-12-08,ビットコイン200万円 二度見した
657630,0,2,0,2018-02-16,剛力組は草ｗ
683049,0,4,0,2018-02-28,現在ビットコイン高値ついてます。 # ビットコイン
698850,1,3,0,2018-03-10,兵士「ビットコイン隊長、値動きが必ず自分の予想を裏切るんですが！」 隊長「そうなんだ。逆なんだから簡単だろう？と言われると欲が出た途端にそれもずれてしまう。 仮想通貨も先物の動きでなかなか難しい。 握力、機敏さを更に上げようではないか！」 # BTC # 仮想通貨隊
394707,4,2,0,2017-12-10,この間、monappyに書いたBitcoin市場の解説記事が、ページビューではmonappyに投稿された記事の中で歴代11位にまで上り詰めた。 問題は、monappy布教のために読まれる記事を書いたがために、モナコインユーザーとは別の層が読んだこと。だから、投げ銭は少ない…。
284019,28,2,26,2017-11-08,【「Segwit2x」によるビットコインの分岐に係る対応について】 2017年11月15日に起こる可能性のあるビットコインの「Segwit2x」による分岐に関して、ユーザーみなさまの資産保護を最優先事項として、以下の対応を予定しております。(1/3)
146310,0,1,0,2017-07-31,明日、ビットコイン分裂するううう。 今日、ビットコイン終わっちゃううう。 ・・・何も起きてないｗ
556007,0,2,0,2018-01-19,ビットコインのブロックチェーン、相当でかいんじゃないのかなぁと思ってはいたけど、150G以上あるのね。そんなん全部の端末に入れたられないよな。
168843,0,1,0,2017-08-15,"いえいえ。勧誘はよくしていただいてるのでw 裏技も聞いてるんですが、資金不足なだけです(^_^,)"
84659,1,2,0,2017-05-11,【現在のビットコイン相場】 現物価格：1700.71 (参考:¥194396.26) 出来高(24h):8116 BTC (1518百万円)
441109,0,2,0,2017-12-22,# 仮想通貨 # KMD Bittrex高騰/暴落 速報(5分前価格と比較) [BTC-KMD]6.09% [BTC-VIB]5.94% [BTC-MUSIC]-5.88% [ETH-VIB]12.75% [ETH-MYST]-11.27% [ETH-ADX]5.24% 【10%以上】の変動!アービトラージのチャンス!
5080,2,3,0,2016-03-02,Bitcoin初めて買ってみた。結構簡単に口座開設できるんだね。それにしても既にポイントサイトと連携してるとは。
101849,3,1,0,2017-05-27,ビットコイン 半額にもなってないのに暴落なんて呼べないと思うけど。 この程度日常茶飯事でしょ・・・。普通に覚悟の上で買ってると思うが。 ビットコインは中国人が絡んでるから、アレが絡んでると価格はめちゃくちゃになる。理屈なんてありゃしない。
65637,1,3,0,2017-03-21,ありがとうございます 大丈夫ですが、高配当なのですぐ飛ぶかもしれませんよw ただ確かにサポートの対応もシッカリしてるし、自動複利機能や各種ボーナスが優れてるんですよねw 明日週利49%が入って来ますので、配当を残して、元金を引き出してみます^ ^
13120,1,4,0,2016-05-29,Bitcoinえらいことなっとる 爆発してる
588784,0,0,0,2018-01-27,らしいね。ビットコイン以外の通貨で持ってたやつは悲惨やねえ
234288,0,3,0,2017-10-06,やぎさん、何年かするとビットコイン決済とかしてそう...
225088,1,1,0,2017-09-26,城が燃えておる....
407801,0,1,0,2017-12-13,ははーん、俺の予想。またビットコインがハッキングで全部盗まれた事件が起きる。
654071,0,1,0,2018-02-15,ビットコインももう30万も戻したな。振れ幅酷すぎよ。
54854,0,4,0,2017-02-22,いつの間にかビットコインの価格めっちゃ上がってるやん
459749,0,3,0,2017-12-24,ビットコインて2、3年前に事件で有名になったイメージ
195033,0,1,0,2017-09-05,valuみたいな法整備されてない世界で一儲け企んだ奴が損した…内情知る内側が得するなんて予想できるやん…そもそも取引に使われるビットコインの価値も不安定なのに…法整備された株式に上場したUUUMなんて今後どーすんだろ動画でなんの告知も出来んだろ、不手際あって株価落ちたら詐欺罪か？
47141,0,1,0,2017-01-24,何故か BitcoinとXRPの 上げ下げが連動しているのは 何故なのだろうか？？？ アルトコインも同じように下がる のは分かるのだがぁ 解せないが今は仕方ないのかな(^^)！？
795065,0,2,0,2018-05-22,よくわからないですが、取り敢えずアカウント作りました。 どのようなビットコインで資金調達という感じは分かるのですが、サイトなのでしょうか
276903,0,3,0,2017-11-03,え？ビットコインあがってない？
459133,3,1,0,2017-12-24,電車で目の前の家族がビットコインの話してて、この市場で稼げるのも終わり近いなと。
444654,1,0,0,2017-12-22,オリエント急行殺人事件見てる間にビットコインの暴落で俺の9万が殺されてた
284360,0,4,0,2017-11-09,ビットコインうまうまですね笑
792041,0,3,0,2018-05-20,そういえばビットコインは今年で10周年。 価格は3300万倍にも膨れ上がったのだな。 第二のビットコインは必ず生まれるはず。 その為の準備が今まさに必要。
202773,1,4,0,2017-09-11,ビットコインの時代が日本にもやってくるって絶対信じてる信じてる信じてる
550947,1,1,0,2018-01-18,まだ消耗してるの？の人が、ビットコインで毎日のように消耗してて面白い。
612076,0,4,0,2018-02-02,ビットコインが８０万円割れから急騰！
805237,2,2,0,2018-05-30,そう！ツイッター見てて思った！ビットコイン風俗の近くだよね…！ おつかれっす！
724273,0,1,0,2018-03-27,とりわけ契約においてはセマンティクスが重視される。何が起こると、何が取り交わされるか。ビットコインはブロックチェーンで世界が完結している。スマートコントラクトは？実経済が動こうとすれば、欠けた歯車が崩壊を招く。
690472,0,2,0,2018-03-05,FXにも恐らく通じる。 ビットコインが出たときに面白いのが出たからとなんとなく 日本円にして１００円ほど買っておいたのが数年後に新聞で見て思い出したらとんでもない額になっていたことと同じ。 これは仮想通貨で勝つ最低条件・買うという事をその時に満たしていたから起こったこと。上昇は結果。
63432,0,2,0,2017-03-16,"Bitcoinを使って一人ハッカソンをしていますが、ブロックチェーンの思想を踏襲しながらアプリやDBの設計するのって意外と難しいね... 結局DBに何でも登録しがちになってしまう...^^,"
357221,0,3,0,2017-12-07,ビットコイン先物で機関投資家が大量流入して売り浴びせからの先物主導で現物ナイアガラってとこまでぜひ。
281298,0,1,0,2017-11-06,前に書きましたが、前回はBTGの値段が高騰することは予想していなかったので、10BTG程をaltに仕込んで、何%のBTCは戦略的に抜いておきました。
681046,0,0,0,2018-02-27,試しにMoneroの公式の一部拝借して翻訳掛けたけどキツい Moneroは、民間および検閲に抵抗するトランザクションに焦点を当てた主要な暗号侵害です。 BitcoinやEthereumを含むほとんどの既存の暗号化通貨は、透過的なブロックチェーンを持っています。
593830,1,1,0,2018-01-27,まあビットコインの97%ってことだったのでしょう。ミスリード誘ってる時点で終わってると思います。
166805,0,1,0,2017-08-14,昨日10万円だったbitcoinが今日は11万・・・もう買いのタイミング分かんねぇな。
502876,1,1,0,2018-01-08,# 世にビットコインのあらんことを まだビットコイン教に堕ちてないｗｗｗ愚民の戯言がツイで流れてたけどｗお前、、、中央銀行は使いもしない金を死蔵してるんだけど、その金塊の前で同じ事言えんの？？？って話でさｗｗｗ要は仮想通貨群の価値の担保を、先駆者達がゴールドラッシュよろしく？
541107,0,1,0,2018-01-17,ビットコイン1日で1/3位下がったのかｗ
175412,0,4,0,2017-08-21,ネム買ってみよ～ あとビットコインも
328951,2,2,0,2017-11-29,ビットコインで儲けて手術するGIDはいるかな？保険適用で50万円ぐらいになるなら、結構可能性あると思う。おすすめしないけど
464345,0,2,0,2017-12-25,戦争始まったら、ビットコインってどっちに動くのかな……それとも無風。
555312,0,3,0,2018-01-19,DMM Bitcoinのハガキ発送きたーーー。1週間音沙汰なく信用情報で審査落ちたかと思ってたので安心した…。やっと本格的にFXできる
460502,0,3,0,2017-12-24,自分で稼げよビットコイン今安いよ。多分反発するから頑張って。(怖くて手を出せないから人身御供)
315529,2,4,0,2017-11-26,祝ビットコイン100万
719297,0,2,0,2018-03-23,ベルリンで開催されたBlockstackのイベントでウェブカムを通じ、ビットコインが「長期にわたり持ちこたえる」としたものの、ビットコインが「いずれパブリックレジャーを使用していない他の仮想通貨にとって代わる」との見解を示した。
263886,21,1,2,2017-10-27,ビットコインをある程度泳がせておいて、取引手段・プラットフォーム・認知が世間に広がるのを待って、そこから国はビットコインの保持・取引を違法にして、独自の仮想通貨を発行するんじゃないだろうか。 # ビットコイン
168988,0,1,0,2017-08-15,仮想通貨交換所に口座作った話をしたが、これを動画で撮って「ビットコインを１００万で買ってみた！」とかやるのがユーチューバーなんだろ？正直なんかくだらないと思うんだが
309683,76,3,8,2017-11-23,今までビットコインの送金は高い・遅い・不確実っていうイメージだったから、0.3円で送金できるBCHまじかってなってる
192872,1,2,0,2017-09-04,そろそろ俺かな…(｀；ω；´)
501966,2,1,1,2018-01-08,FCTのBF上場の噂はLって人のデマです。 画像はビットコインの買い方です。 なので、信用してる人は気をつけてください。 でもまだ可能性もあるとおもいます。 これでLISKもまた買い入りますね
798128,3,1,1,2018-05-24,底固めしてる感じがフェイクで、それはCCをみるとフェイクだと簡単にわかる。１時間足の直近の安値越えたら、またもうもう一段階下の世界へ # ビットコイン # BTCFX # 仮想通貨 # ビットコインFX # 市況
377303,1,2,0,2017-12-08,僕はビットコインなんかより注目してる株銘柄があります。教えへんけど
368782,0,1,1,2017-12-08,ビットコインなんて胡散臭くて買えないってみんな思っていたんじゃ無いの？今でもそうだから知らない人は危ない橋渡らない方がいいよ。
748043,1,4,0,2018-04-13,一斉にBTC爆上げモード突入。つい先日は７０万円台だったのに対し、 ８０万円台になった。原因はイスラム法がビットコインを容認した事が原因。この乱高下はまだまだ序の口だ。まぁ私はXRP（リップル）推しだがな・・・ # ripple # Bitcoin爆上げ # イスラム法
708027,0,1,0,2018-03-16,仕事あったり地方に住んでるやつからしたらありがたい存在だし、そもそも転売は投機だと思うので俺からしたらビットコインとなんも変わらんと思う。ただ今回の中国人のあれはID使いまわしを注意されて暴行したので別問題の犯罪ってだけ。人がある程度集まったら、何やってても問題は起こると俺は思う
627921,0,3,0,2018-02-06,ビットコインがやっと買えるぐらいの値段？になりましたね。 70万。
454352,0,3,0,2017-12-23,ビットコインは、技術の進歩としてみれば、偉大な一歩であることは間違いないと思う。でもそれを、金融システムや決済システムの革命だとか、通貨の在り方が変わるなんていう飛躍した話になるのは、ちょっと行き過ぎなんじゃないかな。通貨の本質とは何かを考える素材としてはいいんだけど。
596053,0,2,0,2018-01-27,ビットコイン利確するの忘れてた完全に長期保有有価証券の同類と化す
639028,2,2,0,2018-02-09,ところで1/26にビットコインを売って出金申請した俺はちゃんと日本円ホルダーに含まれますよね… 仲間外れにしないよね…
713652,1,3,0,2018-03-19,"3月19日（月曜）｜10時台の仮想通貨市況。BTC約+5%で877,000円台。イーサリアム約-1％で58,000円台。モナコイン約+14％で約427円台。XRP約+7％で69円台。ネム約+7%で30円台。 # ビットコイン # BTC # イーサリアム # ETH # ビットコインキャッシュ # リップル # XRP # モナコイン # ネム # XEM # 仮想通貨"
352207,79,2,25,2017-12-06,最近コア派の寝返り発言が目立つ。本当の事は良く分からないけどもし僕が仮に”長年Blockstreamに洗脳されてたら”と想像。それでもここ数週間で起きた、NYA破綻>Roadmap無し>Segwit不発>Dragon Mint詐欺>Bitcoin Tab発言 とこれだけでもコアへのFaithを失うには充分かもね。 コア信者さんへ、改宗OKよ!
458912,0,2,0,2017-12-24,# 仮想通貨 XRP持ってるけどいつもみたいにBitcoinに釣られそうだなぁ
576499,0,2,0,2018-01-25,ビデオカード品薄って見えて何でまたと思ったらビットコインとやらの採掘に要るのね…
279844,2,1,0,2017-11-05,私の真横でビットコインは危ないっていう話をコソコソしててちょっと面白い 聞き入ってしまうw
568036,0,1,0,2018-01-22,仮想通貨の価格下落率（1時間） 1. -15.53% United Bitcoin (UBTC) 2. -12.67% Creativecoin (CREA) 3. -10.87% Fujinto (NTO) 4. -10.00% Bitair (BTCA) 5. -9.12% PureVidz (VIDZ) 6. -9.04% Rivetz (RVT) 7. -8.96% Maverick Chain (MVC)
719024,0,2,0,2018-03-23,現在のビットコインの価格は898347.0円です
420783,0,2,0,2017-12-17,ビットコイン詳しそうだよねいつも気になって見てる←
594491,0,2,0,2018-01-27,01/27 12:00 のStrongHands価格（日本円）をお知らせします。 1剛力 = 0.0002963998 円 (前日比 : -16.36 パーセント) 1億剛力 = 29639 円 10億剛力 = 296399 円 プロテインはこちらへ↓ 【SPV4eLwzqt8arMP1QxzfJbEQndYYwyAgAq】 # StrongHands # SHND # 仮想通貨 # bitcoin
62827,2,3,0,2017-03-14,ちなみに先月も今月も月300時間コース しっかり稼いで夏休み一ヶ月取りたいな♪ 忙しい時期はしっかり働いて休みまとめて取るのが自分は嬉しい
472132,1,3,0,2017-12-28,マスは「ビットコイン決済できる所が増えている」という認識なんだろうか ちょっと前はマスメディアがそういうニュース流してた様な気がするし
490457,1,4,0,2018-01-05,ビットコインは後輩くんにめちゃおすすめされてた
806791,0,2,0,2018-05-31,"05/31 14:00現在(Zaif調べ) # Bitcoin : 818,500円↑1.74% # NEM # XEM : 27円↑3.85% # Monacoin : 368円↑0.27% # Ethereum : 62,350円↑1.64% # Zaif : 1円↑0%"
403623,0,3,0,2017-12-12,ギャンブルだったけど、送金が間に合ったらしい。 10万詰まりで2時間くらいで送金完了。 BINACEで口座開設。ハードフォーク待ち。 # ビットコイン # 送金詰まりの件
692160,2,2,0,2018-03-06,4200めーとりゅ
715004,0,1,0,2018-03-20,"【30分足】 【売りサイン】 を 検出しました。 909,470 BTC/JPY (2018/03/20 02:00) # ビットコイン # BTC # MACD # BTC売買サイン通知"
700003,0,0,0,2018-03-11,ビットコインは、上がれば何度も例の売却の嵐が降ってくるのかー？ 全部売り切るまではこの現象が続くのかー？ # 仮想通貨
659178,1,3,0,2018-02-17,ビットコイン好調だけど ビットフライヤーでSFD発動しそう
377559,0,4,0,2017-12-08,ビットコインの上昇が異常すぎる。
14376,0,2,0,2016-06-10,ＵＦＪ一瞬プラ転 ビットコイン銘柄(〃艸〃)ﾑﾌｯ
178994,0,3,0,2017-08-24,ビットコイン1度勧められたけど悩むな～
39142,1,1,0,2017-01-05,ビットコインはちょっと違う気がします。株価ですね。
552664,1,0,0,2018-01-18,ビットコイン暴落で今がチャンスかと思ったがそもそも1ビットコインはおろか0.01も買えない←
420489,0,3,0,2017-12-17,zaifだけやたらとビットコイン上がってるのなんで
78558,0,4,0,2017-05-02,ビットコインはこれから騰がると聞いた
751091,0,2,0,2018-04-16,# 仮想通貨 # CRB Bittrex高騰/暴落 速報(5分前価格と比較) [ETH-CRB]-19.21% 【10%以上】の変動!アービトラージチャンス! # 拡散希望
274684,1,3,0,2017-11-02,"ビットコイン80万超えた(^^,"
641250,1,1,0,2018-02-10,BTC/JPY 売り買い交錯してるな～ 上か？下か？ 個人的には下ｗ # BTC # Bitcoin
531323,0,1,0,2018-01-16,もう、遅いやろ。
384529,0,3,0,2017-12-09,やってませーん。 それは時代遅れです。 ビットコインかモナーコインをやりましょーね
161625,1,2,1,2017-08-12,ナカーマ(*´Д`)ﾊｧﾊｧ
293891,0,2,0,2017-11-13,ビットコインだろうが、株だろうが下げた時にしか買えない。長期順張りの下落拾うなら、この方法しかない。 # 投資
453726,1,2,0,2017-12-23,え？ ゴール・D・ロジャー ビットコインの神らしいw
231270,0,2,1,2017-10-03,RT 古賀茂明はビットコイン取引所破綻はアメリカの陰謀だとでも暗に言いたいのかな？ビットコインはドルによる国際金融支配への挑戦だからと。 RT 報ステ古賀茂明「民主党の組合派の票が大量に共産党に流れた」
178877,1,1,0,2017-08-24,税金もだけど犯収法や資金決済法もしっかり適法にやってくれよ。ビットコインもきっちり本人確認する必要があるから簡単じゃないぞ > 送金サービス
253920,3,4,0,2017-10-21,ビットコイン見ても欲望で変な売り買いしそうなので、 リップル見て冷静に下拾っていこうー。ウキウキするぐらい安い。 スーパーの特売と思えば全然余裕だ！！！ # XRP
525624,0,0,0,2018-01-16,たぶんマイナス9000枚(ビットコイン)とかになりそう
406661,0,3,0,2017-12-13,$ NEM $ LTC につづいて リップル $ XRP までmoonか！というか主要なアルト大体高騰中やなぁ。これがアルト祭り... # 仮想通貨 # リップル # ビットコイン
338961,0,0,1,2017-12-01,ビットコイン下げー。底がみえん。
230000,1,3,0,2017-10-02,Bitcoinのfxだね。ぼちぼち頑張るわw
649281,0,4,0,2018-02-13,FX100万きた。さすがに上がっていきそう
698258,0,2,0,2018-03-09,ビットコインやばー(´･ω･`)
158069,0,2,0,2017-08-08,ビットコイン、ＸＥＭ(￣▽￣)
217332,13,1,38,2017-09-18,取引所へのサイバー攻撃やビットコイン（ＢＴＣ）採掘への参加が疑われており、経済制裁の強化で窮地に立たされる北朝鮮がＢＴＣに逃げ込もうとしている可能性がある。
586661,0,2,0,2018-01-27,17時00分現在のトレンド: # aniaca ホワイトハッカー バースデーカード コインチェック事件 無間地獄 ポイボ # yjtc ビットコイン決済サービス # 親父熱愛 # たーんおん アドニス 一般女性と結婚 返礼祭 ショコラフェス # resem34 メインクーン...
95622,2,4,0,2017-05-24,"bitcoin, いつ見ても単調増加してませんか おれもレートをbitcoinにしたい"
488378,3,1,0,2018-01-04,やすけりゃいいってもんじゃないぜ…
470333,0,4,0,2017-12-27,全部 Bitcoin に突っ込んだら倍は固いですよほんとですよ。
737835,0,1,0,2018-04-06,ビットコインと同じタイミングでいくつかの主要アルトがサポートラインで粘ることでカテナチオみたいになったりしないの？
397987,0,0,0,2017-12-11,GMOがビットコインの広告を電車内に出している時点で手を引いた方がいいものだといえよう。
619393,0,2,0,2018-02-04,それこそ話題のビットコイン？( ・◇・)？
644144,0,2,0,2018-02-11,〜第2回アンケート〜 仮想通貨Fxショート派？ ロング派？ どちらかというとで構いません # Zaif # zaif # 仮想通貨 # Bitcoin # BitCoin # ビットコイン # XRP # リップル # XEM # ネム # ショート # ロング # JPY # jpy # FX # トレード # 空売り # 取引 # コツコツ # 一万円チャレンジ
633518,1,3,0,2018-02-07,こ、これは！ビットコインそのものですね！ 個人的にユーチューブはやっておいた方がいいと思います。 ライバルがいないキーワードならユーチューブが上位表示されやすくなってきているのとそこからのリンクも力強いですしやらないよりやったほうがいい手法だと思います。 # 知らんけどな
